@RELATION appendixE_01_full_mixed

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
558,120,4,30,46,7129,7111,120,28.8,-4,0.09063389892,0.09063389892,46
558,120,5,30,50,7129,7111,120,28.8,-4,0.0979277423,0.0979277423,50
558,120,6,30,54,7129,7111,120,28.8,-4,0.1066531828,0.1066531828,54
558,120,4,32,48,7129,7111,120,28.8,-4,0.06796960547,0.06796960547,48
558,120,5,32,52,7129,7111,120,28.8,-4,0.07367352764,0.07367352764,52
558,120,6,32,56,7129,7111,120,28.8,-4,0.08060881925,0.08060881925,56
558,120,4,34.5,50.5,7129,7111,120,28.8,-4,0.05009734111,0.05009734111,50.5
558,120,5,34.5,54.5,7129,7111,120,28.8,-4,0.05397920345,0.05397920345,54.5
558,120,6,34.5,58.5,7129,7111,120,28.8,-4,0.05881402203,0.05881402203,58.5
558,120,4,37,53,7129,7111,120,28.8,-4,0.04167346167,0.04167346167,53
558,120,5,37,57,7129,7111,120,28.8,-4,0.04399919973,0.04399919973,57
558,120,6,37,61,7129,7111,120,28.8,-4,0.04699424073,0.04699424073,61
558,120,4,40,56,7129,7111,120,28.8,-4,0.04062464811,0.0392929962,48
558,120,5,40,60,7129,7111,120,28.8,-4,0.04150005002,0.040483085,51.42857143
558,120,6,40,64,7129,7111,120,28.8,-4,0.04273157567,0.04201013957,54.85714286
559,120,4,30,46,7129,7111,120,28.8,-2,0.06750718354,0.06750718354,46
559,120,5,30,50,7129,7111,120,28.8,-2,0.07376346052,0.07376346052,50
559,120,6,30,54,7129,7111,120,28.8,-2,0.08128215747,0.08128215747,54
559,120,4,32,48,7129,7111,120,28.8,-2,0.04272798479,0.04272798479,48
559,120,5,32,52,7129,7111,120,28.8,-2,0.04744084068,0.04744084068,52
559,120,6,32,56,7129,7111,120,28.8,-2,0.05322038852,0.05322038852,56
559,120,4,34.5,50.5,7129,7111,120,28.8,-2,0.02268586189,0.02268586189,50.5
559,120,5,34.5,54.5,7129,7111,120,28.8,-2,0.02563901909,0.02563901909,54.5
559,120,6,34.5,58.5,7129,7111,120,28.8,-2,0.02938844974,0.02938844974,58.5
559,120,4,37,53,7129,7111,120,28.8,-2,0.0127227043,0.0127227043,53
559,120,5,37,57,7129,7111,120,28.8,-2,0.01417887154,0.01417887154,57
559,120,6,37,61,7129,7111,120,28.8,-2,0.01616000228,0.01616000228,61
559,120,4,40,56,7129,7111,120,28.8,-2,0.01074911337,0.01025213334,49.14285714
559,120,5,40,60,7129,7111,120,28.8,-2,0.01081737374,0.01058840286,52.65306122
559,120,6,40,64,7129,7111,120,28.8,-2,0.01111304958,0.0110631041,58.7755102
560,120,4,30,46,7129,7111,120,28.8,0,0.05964209928,0.05964209928,46
560,120,5,30,50,7129,7111,120,28.8,0,0.06553410261,0.06553410261,50
560,120,6,30,54,7129,7111,120,28.8,0,0.07262615319,0.07262615319,54
560,120,4,32,48,7129,7111,120,28.8,0,0.03412557986,0.03412557986,48
560,120,5,32,52,7129,7111,120,28.8,0,0.03848894444,0.03848894444,52
560,120,6,32,56,7129,7111,120,28.8,0,0.04385832008,0.04385832008,56
560,120,4,34.5,50.5,7129,7111,120,28.8,0,0.01331788328,0.01331788328,50.5
560,120,5,34.5,54.5,7129,7111,120,28.8,0,0.0159417071,0.0159417071,54.5
560,120,6,34.5,58.5,7129,7111,120,28.8,0,0.01930484625,0.01930484625,58.5
560,120,4,37,53,7129,7111,120,28.8,0,0.002799522067,0.002799522067,53
560,120,5,37,57,7129,7111,120,28.8,0,0.003946541575,0.003946541575,57
560,120,6,37,61,7129,7111,120,28.8,0,0.005566004237,0.005566004237,61
560,120,4,40,56,7129,7111,120,28.8,0,0.0004710721808,0.0002037714719,49.14285714
560,120,5,40,60,7129,7111,120,28.8,0,0.0002524358019,0.0002029793882,53.87755102
560,120,6,40,64,7129,7111,120,28.8,0,0.0002144123065,0.0002144123065,64
561,120,4,30,46,7129,7111,120,28.8,2,0.06750718354,0.06750718354,46
561,120,5,30,50,7129,7111,120,28.8,2,0.07376346052,0.07376346052,50
561,120,6,30,54,7129,7111,120,28.8,2,0.08128215747,0.08128215747,54
561,120,4,32,48,7129,7111,120,28.8,2,0.04272798479,0.04272798479,48
561,120,5,32,52,7129,7111,120,28.8,2,0.04744084068,0.04744084068,52
561,120,6,32,56,7129,7111,120,28.8,2,0.05322038852,0.05322038852,56
561,120,4,34.5,50.5,7129,7111,120,28.8,2,0.02268586189,0.02268586189,50.5
561,120,5,34.5,54.5,7129,7111,120,28.8,2,0.02563901909,0.02563901909,54.5
561,120,6,34.5,58.5,7129,7111,120,28.8,2,0.02938844974,0.02938844974,58.5
561,120,4,37,53,7129,7111,120,28.8,2,0.0127227043,0.0127227043,53
561,120,5,37,57,7129,7111,120,28.8,2,0.01417887154,0.01417887154,57
561,120,6,37,61,7129,7111,120,28.8,2,0.01616000228,0.01616000228,61
561,120,4,40,56,7129,7111,120,28.8,2,0.01074911337,0.01025213334,49.14285714
561,120,5,40,60,7129,7111,120,28.8,2,0.01081737374,0.01058840286,52.65306122
561,120,6,40,64,7129,7111,120,28.8,2,0.01111304958,0.0110631041,58.7755102
562,120,4,30,46,7129,7111,120,28.8,4,0.09063389892,0.09063389892,46
562,120,5,30,50,7129,7111,120,28.8,4,0.0979277423,0.0979277423,50
562,120,6,30,54,7129,7111,120,28.8,4,0.1066531828,0.1066531828,54
562,120,4,32,48,7129,7111,120,28.8,4,0.06796960547,0.06796960547,48
562,120,5,32,52,7129,7111,120,28.8,4,0.07367352764,0.07367352764,52
562,120,6,32,56,7129,7111,120,28.8,4,0.08060881925,0.08060881925,56
562,120,4,34.5,50.5,7129,7111,120,28.8,4,0.05009734111,0.05009734111,50.5
562,120,5,34.5,54.5,7129,7111,120,28.8,4,0.05397920345,0.05397920345,54.5
562,120,6,34.5,58.5,7129,7111,120,28.8,4,0.05881402203,0.05881402203,58.5
562,120,4,37,53,7129,7111,120,28.8,4,0.04167346167,0.04167346167,53
562,120,5,37,57,7129,7111,120,28.8,4,0.04399919973,0.04399919973,57
562,120,6,37,61,7129,7111,120,28.8,4,0.04699424073,0.04699424073,61
562,120,4,40,56,7129,7111,120,28.8,4,0.04062464811,0.0392929962,48
562,120,5,40,60,7129,7111,120,28.8,4,0.04150005002,0.040483085,51.42857143
562,120,6,40,64,7129,7111,120,28.8,4,0.04273157567,0.04201013957,54.85714286
560,124,4,30,46,7129,7111,120,28.8,-4,0.06177643184,0.06177643184,46
560,124,5,30,50,7129,7111,120,28.8,-4,0.06773761836,0.06773761836,50
560,124,6,30,54,7129,7111,120,28.8,-4,0.0750095058,0.0750095058,54
560,124,4,32,48,7129,7111,120,28.8,-4,0.04661315143,0.04661315143,48
560,124,5,32,52,7129,7111,120,28.8,-4,0.05083514284,0.05083514284,52
560,124,6,32,56,7129,7111,120,28.8,-4,0.05611616132,0.05611616132,56
560,124,4,34.5,50.5,7129,7111,120,28.8,-4,0.03807138018,0.03806216796,48.43877551
560,124,5,34.5,54.5,7129,7111,120,28.8,-4,0.04039996464,0.04039638135,53.3877551
560,124,6,34.5,58.5,7129,7111,120,28.8,-4,0.04345918264,0.04345918264,58.5
560,124,4,37,53,7129,7111,120,28.8,-4,0.03821089935,0.03627312828,44.34693878
560,124,5,37,57,7129,7111,120,28.8,-4,0.03903396088,0.03758170697,47.69387755
560,124,6,37,61,7129,7111,120,28.8,-4,0.04027034239,0.0393005034,51.04081633
560,124,4,40,56,7129,7111,120,28.8,-4,0.04558874545,0.03584853372,43.42857143
560,124,5,40,60,7129,7111,120,28.8,-4,0.04515738272,0.03684927696,46.53061224
560,124,6,40,64,7129,7111,120,28.8,-4,0.04481241031,0.03797307764,48.32653061
561,124,4,30,46,7129,7111,120,28.8,-2,0.03821748379,0.03821748379,46
561,124,5,30,50,7129,7111,120,28.8,-2,0.04310690833,0.04310690833,50
561,124,6,30,54,7129,7111,120,28.8,-2,0.04912753305,0.04912753305,54
561,124,4,32,48,7129,7111,120,28.8,-2,0.0212623469,0.0212623469,48
561,124,5,32,52,7129,7111,120,28.8,-2,0.02446886062,0.02446886062,52
561,124,6,32,56,7129,7111,120,28.8,-2,0.02856151056,0.02856151056,56
561,124,4,34.5,50.5,7129,7111,120,28.8,-2,0.01106989335,0.01106989335,50.5
561,124,5,34.5,54.5,7129,7111,120,28.8,-2,0.01245380885,0.01245380885,54.5
561,124,6,34.5,58.5,7129,7111,120,28.8,-2,0.01440671791,0.01440671791,58.5
561,124,4,37,53,7129,7111,120,28.8,-2,0.01029308163,0.009458171786,45.42857143
561,124,5,37,57,7129,7111,120,28.8,-2,0.01023665353,0.009842871261,48.85714286
561,124,6,37,61,7129,7111,120,28.8,-2,0.01044805353,0.01034082407,54.7755102
561,124,4,40,56,7129,7111,120,28.8,-2,0.01757922399,0.00939541881,43.42857143
561,124,5,40,60,7129,7111,120,28.8,-2,0.01633493559,0.00955516652,46.53061224
561,124,6,40,64,7129,7111,120,28.8,-2,0.01504979119,0.009867106271,49.63265306
562,124,4,30,46,7129,7111,120,28.8,0,0.03020425296,0.03020425296,46
562,124,5,30,50,7129,7111,120,28.8,0,0.03471681922,0.03471681922,50
562,124,6,30,54,7129,7111,120,28.8,0,0.04029607804,0.04029607804,54
562,124,4,32,48,7129,7111,120,28.8,0,0.01262102958,0.01262102958,48
562,124,5,32,52,7129,7111,120,28.8,0,0.0154691431,0.0154691431,52
562,124,6,32,56,7129,7111,120,28.8,0,0.01914110517,0.01914110517,56
562,124,4,34.5,50.5,7129,7111,120,28.8,0,0.001839416882,0.001839416882,50.5
562,124,5,34.5,54.5,7129,7111,120,28.8,0,0.002889153086,0.002889153086,54.5
562,124,6,34.5,58.5,7129,7111,120,28.8,0,0.004449450633,0.004449450633,58.5
562,124,4,37,53,7129,7111,120,28.8,0,0.0007207304905,0.0002234464757,46.51020408
562,124,5,37,57,7129,7111,120,28.8,0,0.0003531545543,0.0002042399908,50.02040816
562,124,6,37,61,7129,7111,120,28.8,0,0.0001999351246,0.0001999351246,61
562,124,4,40,56,7129,7111,120,28.8,0,0.007939331065,0.000326953207,44.57142857
562,124,5,40,60,7129,7111,120,28.8,0,0.00640819567,0.0002110318281,46.53061224
562,124,6,40,64,7129,7111,120,28.8,0,0.004789445834,0.0002031997133,49.63265306
563,124,4,30,46,7129,7111,120,28.8,2,0.03821748379,0.03821748379,46
563,124,5,30,50,7129,7111,120,28.8,2,0.04310690833,0.04310690833,50
563,124,6,30,54,7129,7111,120,28.8,2,0.04912753305,0.04912753305,54
563,124,4,32,48,7129,7111,120,28.8,2,0.0212623469,0.0212623469,48
563,124,5,32,52,7129,7111,120,28.8,2,0.02446886062,0.02446886062,52
563,124,6,32,56,7129,7111,120,28.8,2,0.02856151056,0.02856151056,56
563,124,4,34.5,50.5,7129,7111,120,28.8,2,0.01106989335,0.01106989335,50.5
563,124,5,34.5,54.5,7129,7111,120,28.8,2,0.01245380885,0.01245380885,54.5
563,124,6,34.5,58.5,7129,7111,120,28.8,2,0.01440671791,0.01440671791,58.5
563,124,4,37,53,7129,7111,120,28.8,2,0.01029308163,0.009458171786,45.42857143
563,124,5,37,57,7129,7111,120,28.8,2,0.01023665353,0.009842871261,48.85714286
563,124,6,37,61,7129,7111,120,28.8,2,0.01044805353,0.01034082407,54.7755102
563,124,4,40,56,7129,7111,120,28.8,2,0.01757922399,0.00939541881,43.42857143
563,124,5,40,60,7129,7111,120,28.8,2,0.01633493559,0.00955516652,46.53061224
563,124,6,40,64,7129,7111,120,28.8,2,0.01504979119,0.009867106271,49.63265306
564,124,4,30,46,7129,7111,120,28.8,4,0.06177643184,0.06177643184,46
564,124,5,30,50,7129,7111,120,28.8,4,0.06773761836,0.06773761836,50
564,124,6,30,54,7129,7111,120,28.8,4,0.0750095058,0.0750095058,54
564,124,4,32,48,7129,7111,120,28.8,4,0.04661315143,0.04661315143,48
564,124,5,32,52,7129,7111,120,28.8,4,0.05083514284,0.05083514284,52
564,124,6,32,56,7129,7111,120,28.8,4,0.05611616132,0.05611616132,56
564,124,4,34.5,50.5,7129,7111,120,28.8,4,0.03807138018,0.03806216796,48.43877551
564,124,5,34.5,54.5,7129,7111,120,28.8,4,0.04039996464,0.04039638135,53.3877551
564,124,6,34.5,58.5,7129,7111,120,28.8,4,0.04345918264,0.04345918264,58.5
564,124,4,37,53,7129,7111,120,28.8,4,0.03821089935,0.03627312828,44.34693878
564,124,5,37,57,7129,7111,120,28.8,4,0.03903396088,0.03758170697,47.69387755
564,124,6,37,61,7129,7111,120,28.8,4,0.04027034239,0.0393005034,51.04081633
564,124,4,40,56,7129,7111,120,28.8,4,0.04558874545,0.03584853372,43.42857143
564,124,5,40,60,7129,7111,120,28.8,4,0.04515738272,0.03684927696,46.53061224
564,124,6,40,64,7129,7111,120,28.8,4,0.04481241031,0.03797307764,48.32653061
562,128,4,30,46,7129,7111,120,28.8,-4,0.04239585643,0.04239585643,46
562,128,5,30,50,7129,7111,120,28.8,-4,0.04676597253,0.04676597253,50
562,128,6,30,54,7129,7111,120,28.8,-4,0.05227424146,0.05227424146,54
562,128,4,32,48,7129,7111,120,28.8,-4,0.03535487252,0.03534383975,46.04081633
562,128,5,32,52,7129,7111,120,28.8,-4,0.03790054514,0.03789811783,50.93877551
562,128,6,32,56,7129,7111,120,28.8,-4,0.04128368369,0.04128368369,56
562,128,4,34.5,50.5,7129,7111,120,28.8,-4,0.03625437726,0.03353111883,41.2244898
562,128,5,34.5,54.5,7129,7111,120,28.8,-4,0.03693823388,0.03491320912,44.48979592
562,128,6,34.5,58.5,7129,7111,120,28.8,-4,0.03808357255,0.03675067173,48.94897959
562,128,4,37,53,7129,7111,120,28.8,-4,0.04430806993,0.03315477983,41.10204082
562,128,5,37,57,7129,7111,120,28.8,-4,0.04365060447,0.03417506417,43.04081633
562,128,6,37,61,7129,7111,120,28.8,-4,0.0431168952,0.03544688829,46.06122449
562,128,4,40,56,7129,7111,120,28.8,-4,0.0584267454,0.03319795145,40
562,128,5,40,60,7129,7111,120,28.8,-4,0.05684345783,0.03383949181,42.85714286
562,128,6,40,64,7129,7111,120,28.8,-4,0.05506251015,0.0349200641,45.71428571
563,128,4,30,46,7129,7111,120,28.8,-2,0.01873487155,0.01873487155,46
563,128,5,30,50,7129,7111,120,28.8,-2,0.02200945072,0.02200945072,50
563,128,6,30,54,7129,7111,120,28.8,-2,0.02623513463,0.02623513463,54
563,128,4,32,48,7129,7111,120,28.8,-2,0.0102935669,0.0102935669,48
563,128,5,32,52,7129,7111,120,28.8,-2,0.01180985193,0.01180985193,52
563,128,6,32,56,7129,7111,120,28.8,-2,0.01398499272,0.01398499272,56
563,128,4,34.5,50.5,7129,7111,120,28.8,-2,0.01013346005,0.008738670527,42.25510204
563,128,5,34.5,54.5,7129,7111,120,28.8,-2,0.009867091271,0.009137270998,46.71428571
563,128,6,34.5,58.5,7129,7111,120,28.8,-2,0.009899865369,0.009652929216,51.33673469
563,128,4,37,53,7129,7111,120,28.8,-2,0.01793924509,0.008604953329,41.10204082
563,128,5,37,57,7129,7111,120,28.8,-2,0.01640238568,0.008898856875,44.20408163
563,128,6,37,61,7129,7111,120,28.8,-2,0.01484484043,0.009249079958,47.30612245
563,128,4,40,56,7129,7111,120,28.8,-2,0.03280040372,0.008617618929,41.14285714
563,128,5,40,60,7129,7111,120,28.8,-2,0.03040724681,0.008893986875,42.85714286
563,128,6,40,64,7129,7111,120,28.8,-2,0.02769231439,0.009064329435,45.71428571
564,128,4,30,46,7129,7111,120,28.8,0,0.01068512733,0.01068512733,46
564,128,5,30,50,7129,7111,120,28.8,0,0.01357508304,0.01357508304,50
564,128,6,30,54,7129,7111,120,28.8,0,0.01734893912,0.01734893912,54
564,128,4,32,48,7129,7111,120,28.8,0,0.001748653585,0.001748653585,48
564,128,5,32,52,7129,7111,120,28.8,0,0.002902480389,0.002902480389,52
564,128,6,32,56,7129,7111,120,28.8,0,0.004650879474,0.004650879474,56
564,128,4,34.5,50.5,7129,7111,120,28.8,0,0.001201289174,0.0002208421679,43.28571429
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
564,128,6,34.5,58.5,7129,7111,120,28.8,0,0.0002387660683,0.0002020380472,53.7244898
564,128,4,37,53,7129,7111,120,28.8,0,0.008894736606,0.0002349223531,41.10204082
564,128,5,37,57,7129,7111,120,28.8,0,0.00704793629,0.0002027187499,44.20408163
564,128,6,37,61,7129,7111,120,28.8,0,0.005127869694,0.0002024440268,47.30612245
564,128,4,40,56,7129,7111,120,28.8,0,0.02397711879,0.0002153421169,41.14285714
564,128,5,40,60,7129,7111,120,28.8,0,0.02129998448,0.0003841797302,42.85714286
564,128,6,40,64,7129,7111,120,28.8,0,0.01825587381,0.0002300923401,45.71428571
565,128,4,30,46,7129,7111,120,28.8,2,0.01873487155,0.01873487155,46
565,128,5,30,50,7129,7111,120,28.8,2,0.02200945072,0.02200945072,50
565,128,6,30,54,7129,7111,120,28.8,2,0.02623513463,0.02623513463,54
565,128,4,32,48,7129,7111,120,28.8,2,0.0102935669,0.0102935669,48
565,128,5,32,52,7129,7111,120,28.8,2,0.01180985193,0.01180985193,52
565,128,6,32,56,7129,7111,120,28.8,2,0.01398499272,0.01398499272,56
565,128,4,34.5,50.5,7129,7111,120,28.8,2,0.01013346005,0.008738670527,42.25510204
565,128,5,34.5,54.5,7129,7111,120,28.8,2,0.009867091271,0.009137270998,46.71428571
565,128,6,34.5,58.5,7129,7111,120,28.8,2,0.009899865369,0.009652929216,51.33673469
565,128,4,37,53,7129,7111,120,28.8,2,0.01793924509,0.008604953329,41.10204082
565,128,5,37,57,7129,7111,120,28.8,2,0.01640238568,0.008898856875,44.20408163
565,128,6,37,61,7129,7111,120,28.8,2,0.01484484043,0.009249079958,47.30612245
565,128,4,40,56,7129,7111,120,28.8,2,0.03280040372,0.008617618929,41.14285714
