@RELATION appendixE_02_near_O

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
563.5206048,128.2232662,4.95255607,30.50450741,50.3147317,7129,7111,120,28.8,-1.182056706,0.01212875414,0.01212875414,50.3147317
562.9485805,125.1714813,4.148573183,36.19321704,52.78750978,7129,7111,120,28.8,0.7256795984,0.001975991377,0.001414572577,45.24643695
562.5741179,123.6347588,4.661801187,36.05798217,54.70518692,7129,7111,120,28.8,1.513477005,0.005964565911,0.005964565911,54.70518692
562.6268541,128.327378,5.4996595,37.38341431,59.38205231,7129,7111,120,28.8,-3.073669881,0.03062536605,0.02065440334,44.83950889
563.6438276,127.8354877,4.936053214,32.54969535,52.29390821,7129,7111,120,28.8,-0.5478325443,0.002282606579,0.002282606579,52.29390821
564.8303415,130.7464669,4.979523835,32.91340719,52.83150253,7129,7111,120,28.8,-1.085783863,0.003394409602,0.002729460129,45.28414503
561.9396835,126.4348173,5.502827725,34.19182485,56.20313576,7129,7111,120,28.8,-2.555450303,0.01625960252,0.01625941538,55.05613299
565.2207266,130.414804,4.722238589,33.84662948,52.73558384,7129,7111,120,28.8,0.02664919383,0.002496728022,0.0002027530204,43.04945619
563.3076703,126.5994224,4.849893264,33.90015657,53.29972962,7129,7111,120,28.8,0.01591819837,0.0005816461241,0.0005816461241,53.29972962
561.4699357,124.5535633,5.66162302,33.15753357,55.80402565,7129,7111,120,28.8,-1.613691855,0.01423613028,0.01423613028,55.80402565
563.0197091,125.3647655,5.56290888,31.5919514,53.84358691,7129,7111,120,28.8,0.6746526651,0.01549452203,0.01549452203,53.84358691
563.1072951,127.4786954,4.29559221,35.96985342,53.15222226,7129,7111,120,28.8,-1.264105108,0.007124509255,0.003700823354,43.38956919
564.0421369,127.9413902,4.699075411,35.40956833,54.20586997,7129,7111,120,28.8,0.1428836886,0.002410697313,0.0002460095588,44.24968977
563.1829751,126.6517566,4.556695683,32.06779448,50.29457721,7129,7111,120,28.8,-0.285806417,0.005024207442,0.005024207442,50.29457721
565.1623101,131.3388296,5.116672143,34.43241913,54.8991077,7129,7111,120,28.8,-1.014209409,0.008056655651,0.002335065665,42.57481822
562.9406075,126.897137,5.252033037,33.89626479,54.90439694,7129,7111,120,28.8,-1.015921941,0.003013982119,0.003013982119,54.90439694
563.832917,127.6213909,5.470603328,35.86102195,57.74343526,7129,7111,120,28.8,0.04444311439,0.002037154419,0.0002072561497,47.13749817
563.9146789,128.9565007,4.447212512,36.39905986,54.18790991,7129,7111,120,28.8,-1.127142787,0.01139570141,0.002871536516,42.02327707
565.0673505,130.4161178,5.216753537,36.06288611,56.92990025,7129,7111,120,28.8,-0.2814167982,0.01015230222,0.0003684047756,42.98788387
565.960364,130.0779611,4.81775294,37.52994597,56.80095772,7129,7111,120,28.8,1.842766946,0.02501620702,0.007184863616,41.73131588
563.3034818,124.8835174,5.197572832,36.24723823,57.03752955,7129,7111,120,28.8,1.723446154,0.007544656851,0.007348695167,50.05334226
567.8332059,132.6975208,4.541929237,31.12265684,49.29037379,7129,7111,120,28.8,2.968890947,0.01853267585,0.01787932102,42.24889182
564.0060989,130.0422226,4.995037845,36.17945495,56.15960633,7129,7111,120,28.8,-2.030024832,0.01915537473,0.008772462038,42.40623335
559.8352729,123.8905066,5.103719608,34.58877178,55.00365021,7129,7111,120,28.8,-4.219960909,0.04485923573,0.04484400075,52.75860326
563.7312809,127.3854923,4.655793757,31.47301119,50.09618621,7129,7111,120,28.8,0.07706952754,0.005766973362,0.005766973362,50.09618621
562.8199727,127.5833629,4.342607471,35.51136214,52.88179203,7129,7111,120,28.8,-1.943417382,0.01104883193,0.00836605697,43.16880982
564.3297803,127.8465034,4.604282023,33.18388242,51.60101051,7129,7111,120,28.8,0.8130570733,0.001899540331,0.001899540331,51.60101051
561.8645543,125.5023924,5.078163167,32.93405077,53.24670344,7129,7111,120,28.8,-1.773283734,0.01233390533,0.01233390533,53.24670344
564.7848388,128.8901657,5.810064395,31.71442191,54.95467949,7129,7111,120,28.8,0.6795118508,0.004509720655,0.004509720655,54.95467949
565.02039,130.2197559,4.994388108,31.60027236,51.57782479,7129,7111,120,28.8,-0.1789759238,0.0008998441347,0.0008998441347,51.57782479
564.167955,126.8495155,4.967008651,34.66210874,54.53014335,7129,7111,120,28.8,1.486394527,0.005413330453,0.005320679773,48.965843
564.7911739,127.2732083,4.991410973,30.09916866,50.06481255,7129,7111,120,28.8,2.309139494,0.02708146581,0.02708146581,50.06481255
561.1661127,126.2698186,4,33.4397693,49.4397693,7129,7111,120,28.8,-3.937593214,0.03494894366,0.03488981568,46.41284465
565.7140697,131.3338996,4.530981717,32.61860026,50.74252713,7129,7111,120,28.8,0.09423981226,0.001204873088,0.000227916442,42.45803291
565.5708932,130.8265331,5.019199697,34.39307642,54.46987521,7129,7111,120,28.8,0.3152532468,0.00477787704,0.0004403287915,43.35357415
564.853406,128.0960007,5.221026919,34.9314094,55.81551708,7129,7111,120,28.8,1.610811294,0.007215686984,0.006016773065,46.70277959
563.2075233,125.3928291,4.726301169,36.68769135,55.59289603,7129,7111,120,28.8,1.02221753,0.003806865487,0.002614283076,46.51650484
562.2735655,124.8223729,4.997056685,31.8507089,51.83893564,7129,7111,120,28.8,-0.2752419526,0.01319875058,0.01319875058,51.83893564
567.6128713,132.3049291,4.814566495,36.04344233,55.30170831,7129,7111,120,28.8,2.920813535,0.03651354888,0.01692979717,40.62982652
561.8597856,128.9466902,5.100159207,34.37731184,54.77794867,7129,7111,120,28.8,-5.227118927,0.06169811973,0.05702581674,43.59877547
563.0271468,128.2080434,4.892261182,34.14348247,53.7125272,7129,7111,120,28.8,-2.15374984,0.01106374274,0.01048077451,46.03930903
565.8195448,130.9702355,4.997777988,37.55794,57.54905195,7129,7111,120,28.8,0.6688541208,0.02200416337,0.001352110558,41.10646568
562.9165098,126.6118802,4.273297995,37.63821169,54.73140367,7129,7111,120,28.8,-0.7788606098,0.008208238576,0.00163587843,43.56172946
566.1222635,130.4108309,5.267559379,34.72029718,55.79053469,7129,7111,120,28.8,1.833696089,0.01200322689,0.007384171431,43.26612894
564.0173546,128.5387223,4.91855983,34.60860722,54.28284654,7129,7111,120,28.8,-0.5040131805,0.001903993882,0.0007615238194,45.42034098
566.4454748,131.7795738,4.97661595,33.3412159,53.2476797,7129,7111,120,28.8,1.111375804,0.005844730936,0.002765531071,42.38080629
564.8089569,126.4125038,5.202674922,34.63510112,55.4458008,7129,7111,120,28.8,3.205410022,0.02438778316,0.02413121497,48.65651907
562.4582193,127.1345454,4.973255377,36.24731607,56.14033758,7129,7111,120,28.8,-2.218106823,0.01432920217,0.01116138609,44.68312583
563.2820859,127.0186569,4.911586259,34.71918874,54.36553377,7129,7111,120,28.8,-0.454485166,0.0007780194528,0.0006771385186,48.81803033
561.773338,124.0174728,4.658241793,36.26917007,54.90213724,7129,7111,120,28.8,-0.4707967039,0.0007431871934,0.0007431871934,54.90213724
