@RELATION appendixE_03_resonance

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
553.282314,110.7015274,7.044101674,30.77698804,58.95339474,7129,7111,120,28.8,-4.136899487,0.2093715733,0.2093715733,58.95339474
568.3441788,136.2760442,6.286229339,32.9035385,58.04845585,7129,7111,120,28.8,0.4123134076,0.009887249399,0.0006747361339,43.83250748
557.3649233,115.0814579,5.176664212,29.35113966,50.05779651,7129,7111,120,28.8,-0.3516112772,0.1304689407,0.1304689407,50.05779651
558.3684189,114.7149122,6.802996823,30.66833632,57.88032361,7129,7111,120,28.8,2.021925629,0.1317913869,0.1317913869,57.88032361
562.0882154,124.5134946,6.176581932,28.20799283,52.91432056,7129,7111,120,28.8,-0.3370638491,0.06473778022,0.06473778022,52.91432056
560.1544846,121.5273501,5.012296134,39.64490261,59.69408715,7129,7111,120,28.8,-1.218380909,0.004811461311,0.003933826292,49.94811373
570.3773405,142.7801953,3.629484228,36.32626565,50.84420256,7129,7111,120,28.8,-2.025514354,0.09474375399,0.006950630541,33.20437718
569.9567168,139.6218185,4.401428193,29.2512351,46.85694787,7129,7111,120,28.8,0.2916151421,0.004713650464,0.00034812451,37.29430545
574.2581154,147.0560525,4.934600412,32.85458485,52.5929865,7129,7111,120,28.8,1.460178223,0.0779285292,0.003524654002,34.34644016
562.9464488,127.7428093,4.067138864,30.1526208,46.42117626,7129,7111,120,28.8,-1.849911791,0.01771168506,0.01771168506,46.42117626
563.4981657,128.5729654,4.115453355,31.67838896,48.14020238,7129,7111,120,28.8,-1.576634012,0.007111710923,0.007111710923,48.14020238
557.2583039,113.6016405,5.93758725,30.2075628,53.9579118,7129,7111,120,28.8,0.9149673397,0.1388671481,0.1388671481,53.9579118
572.1944623,147.8112156,4.150418632,37.79020279,54.39187732,7129,7111,120,28.8,-3.42229099,0.1393914503,0.01699356954,32.19111107
571.6525445,139.1237749,5.191394174,37.61709904,58.38267573,7129,7111,120,28.8,4.181314153,0.09746126197,0.03051356353,36.93597852
568.5687085,136.8980275,6.125311758,31.64238341,56.14363044,7129,7111,120,28.8,0.2393895673,0.005470439196,0.0003397057128,43.5399583
567.0938255,129.6614131,7.363615426,31.5441886,60.9986503,7129,7111,120,28.8,4.526237814,0.05499842356,0.05497059952,58.50890947
569.8768612,137.2099317,4.995758733,29.39876898,49.38180391,7129,7111,120,28.8,2.543790653,0.01359743945,0.01247099553,41.31946858
561.0936095,125.7116495,7.018387756,27.50430077,55.57785179,7129,7111,120,28.8,-3.524430582,0.1004450597,0.1004450597,55.57785179
565.0917239,130.3578474,6.259525314,34.47756371,59.51566496,7129,7111,120,28.8,-0.1743996022,0.002085415349,0.0003106855927,48.5842163
558.2710952,117.7897314,4.182044862,31.37916971,48.10734916,7129,7111,120,28.8,-1.247541032,0.06297022726,0.06297022726,48.10734916
558.5206956,119.1547446,5.326503151,27.62395156,48.92996416,7129,7111,120,28.8,-2.113353376,0.1297113879,0.1297113879,48.92996416
567.2233139,135.8823429,6.752830096,30.72737604,57.73869642,7129,7111,120,28.8,-1.435715043,0.005094893359,0.004720696621,49.49031122
562.3692733,123.9656766,4.140978327,44.83283824,61.39675154,7129,7111,120,28.8,0.7728699285,0.02910396474,0.001580043564,43.85482253
566.3041413,132.1426928,6.121455212,27.71025318,52.19607403,7129,7111,120,28.8,0.4655898211,0.0211613153,0.0211613153,52.19607403
557.4147236,117.5834402,5.715533462,36.9276594,59.78979325,7129,7111,120,28.8,-2.753992944,0.03375720228,0.03375720228,59.78979325
569.3846142,138.6072533,4.715975486,39.59336045,58.4572624,7129,7111,120,28.8,0.1619750725,0.08127163215,0.0002558838526,36.98316601
564.7411529,128.2879162,4.170307323,44.82529054,61.50651983,7129,7111,120,28.8,1.19438948,0.05361678035,0.003280149462,41.42275825
563.6847581,129.7920886,3.868757159,26.60985339,42.08488203,7129,7111,120,28.8,-2.422572378,0.04589642893,0.04589642893,42.08488203
575.4569779,148.3891189,6.03380173,39.89275027,64.02795719,7129,7111,120,28.8,2.524836919,0.1313387601,0.01083529321,36.58740411
561.6354807,125.6442197,4.093592257,32.11134808,48.48571711,7129,7111,120,28.8,-2.3732583,0.01869474747,0.01869474747,48.48571711
556.5778687,113.0281371,4.856853689,34.6296662,54.05708095,7129,7111,120,28.8,0.1276004119,0.06271296753,0.06271296753,54.05708095
568.4972049,138.9994227,3.811439447,30.26533759,45.51109537,7129,7111,120,28.8,-2.005013006,0.01725270686,0.006962672614,35.29431886
569.2761807,140.2236397,3.897153273,36.75631707,52.34493016,7129,7111,120,28.8,-1.671278332,0.07850286136,0.004796430675,34.18444418
571.5824206,142.12109,4.818579439,37.14116867,56.41548642,7129,7111,120,28.8,1.043751287,0.08678202856,0.001987889649,35.69143019
568.4914119,135.3375719,5.168584887,31.98263486,52.65697441,7129,7111,120,28.8,1.64525194,0.01107499266,0.005424536253,40.83602097
557.0640617,115.4988339,7.301878738,36.54666361,65.75417856,7129,7111,120,28.8,-1.370710593,0.04006959197,0.04006959197,65.75417856
562.0040587,124.6406537,6.148746141,36.80050049,61.39548506,7129,7111,120,28.8,-0.6325362742,0.001250355167,0.001218711984,56.38360873
566.778033,135.5053045,6.101397282,35.39443658,59.80002571,7129,7111,120,28.8,-1.949238441,0.03167217409,0.007841340007,41.49389539
565.5217262,128.660035,6.143432162,35.85275318,60.42648183,7129,7111,120,28.8,2.383417523,0.01656658986,0.01307376872,48.09454676
557.2015223,112.5210143,6.084225516,30.38260622,54.71950828,7129,7111,120,28.8,1.882030328,0.1556338251,0.1556338251,54.71950828
