@RELATION appendixE_04_explore

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
524.9716905,136.4034005,4.018167548,33.20617249,49.27884268,7129,7111,120,28.8,-86.46001945,0.9467507137,0.9380551679,37.21055468
558.1894724,104.2116003,4.150556489,46.12969043,62.73191639,7129,7111,120,28.8,12.16734457,0.3693545959,0.3687505839,57.61094362
554.2653348,119.1287177,7.01014659,37.67070254,65.7112889,7129,7111,120,28.8,-10.59804811,0.2616825914,0.255437999,50.95977506
539.5819622,103.0052217,6.054358905,27.58220819,51.79964381,7129,7111,120,28.8,-23.84129741,0.7882605135,0.7757239364,38.05688117
576.0641093,114.8987474,5.472925808,29.53482985,51.42653308,7129,7111,120,28.8,37.22947117,0.8678812255,0.8624311165,39.88180117
577.0373098,133.5519837,3.196862312,29.66771297,42.45516222,7129,7111,120,28.8,20.52263591,0.4981254069,0.460607471,27.72582023
599.0848819,118.462628,3.256618275,31.71975768,44.74623078,7129,7111,120,28.8,79.70713583,0.959518252,0.9536156013,36.52753533
582.5626443,111.673019,7.056171034,23.60824231,51.83292645,7129,7111,120,28.8,53.45226961,0.9600148812,0.9541373276,32.79225959
582.6364402,151.7981164,4.08489422,47.64331699,63.98289387,7129,7111,120,28.8,13.47476397,0.1442513504,0.1442087385,62.67712052
590.9618596,117.5825392,3.374798073,34.76937109,48.26856338,7129,7111,120,28.8,64.34117999,0.9330517948,0.9279630471,40.3879816
600.6927089,130.3453166,7.182628211,37.29875901,66.02927186,7129,7111,120,28.8,71.04010112,0.9339563669,0.9278637708,47.16376561
558.6979782,103.0921652,4.876463168,49.87384369,69.37969636,7129,7111,120,28.8,14.30379114,0.4477788824,0.4472572319,63.71604768
556.4550442,140.8431347,4.824080484,43.49222168,62.78854361,7129,7111,120,28.8,-27.93304616,0.5115764448,0.5002880685,52.53735282
593.5316035,105.7467866,6.354502689,34.18834713,59.60635789,7129,7111,120,28.8,81.31642055,0.976901218,0.9742092811,42.57596992
555.8033014,142.6198322,3.715864076,33.67431762,48.53777392,7129,7111,120,28.8,-31.01322944,0.6111492259,0.6077159407,43.58493985
527.8403379,103.0820058,5.195090878,45.10208574,65.88244925,7129,7111,120,28.8,-47.40132993,0.9107508985,0.9054167501,52.43705144
565.0735073,112.2202943,7.894742189,45.16864256,76.74761132,7129,7111,120,28.8,17.9267204,0.5369840144,0.534123416,64.21738906
580.7471224,154.115497,5.945360034,38.29163568,62.07307581,7129,7111,120,28.8,7.378747737,0.1851030614,0.07438321879,32.9367341
561.847719,136.0741543,4.803128625,28.68328831,47.89580281,7129,7111,120,28.8,-12.3787164,0.250934591,0.2329273002,35.18875309
553.2219844,103.9183368,6.849500294,37.47521529,64.87321647,7129,7111,120,28.8,2.525631969,0.1556038167,0.1556038167,64.87321647
593.2782686,109.8392687,3.207317361,48.07156416,60.90083361,7129,7111,120,28.8,76.71726849,0.9494811212,0.944435257,52.20071452
570.0499789,139.1083104,5.063041978,45.10086881,65.35303673,7129,7111,120,28.8,0.9916473551,0.1015618367,0.001923290027,37.34459241
521.4322054,100.4069375,5.601573802,30.31795194,52.72424715,7129,7111,120,28.8,-57.54252658,0.9645158891,0.9593731042,37.66017654
568.2938551,124.0931081,3.218867438,49.52570676,62.40117651,7129,7111,120,28.8,12.49460213,0.2527379437,0.2527379437,62.40117651
528.9003871,140.6584591,6.693050995,36.92122098,63.69342497,7129,7111,120,28.8,-82.85768488,0.9364801655,0.9301424224,45.49530355
586.3938102,141.2168025,7.956828982,25.31520513,57.14252106,7129,7111,120,28.8,31.57081789,0.7723289445,0.7469162134,34.98521698
562.9172327,159.7730115,4.004712009,32.46105681,48.47990485,7129,7111,120,28.8,-33.93854601,0.5738150651,0.563020116,41.55420416
600.5816903,121.8591092,5.621446185,23.86806892,46.35385366,7129,7111,120,28.8,79.30427132,0.9730172245,0.9675793732,30.27190443
564.7997007,142.8925236,7.073019567,23.30082202,51.59290029,7129,7111,120,28.8,-13.29312228,0.31027042,0.2992545491,40.01082063
600.3575579,151.9002569,3.041171886,35.35377671,47.51846425,7129,7111,120,28.8,48.81485896,0.7538463856,0.7325449563,35.88128933
567.6477906,107.2946057,3.445966731,46.83725313,60.62112005,7129,7111,120,28.8,28.00097545,0.7032308839,0.7009566242,54.43529148
580.1376403,111.0185483,6.267866064,30.98291458,56.05437884,7129,7111,120,28.8,49.25673226,0.9321137987,0.924607735,41.18280895
602.3716357,112.8681964,3.198982798,29.11538475,41.91131594,7129,7111,120,28.8,91.875075,0.976969351,0.9724937064,32.50265318
572.5753133,119.6028532,4.845955225,25.11817409,44.50199499,7129,7111,120,28.8,25.54777337,0.7139482232,0.6910054864,30.8789353
585.1676501,134.2201297,6.523914224,35.70849269,61.80414959,7129,7111,120,28.8,36.11517036,0.7577598407,0.7440631892,47.92974866
520.9238558,118.4113617,5.663993971,39.59918925,62.25516513,7129,7111,120,28.8,-76.56365007,0.9527825909,0.9477164462,45.73848867
606.3293372,126.4754786,4.011175017,44.79495101,60.83965108,7129,7111,120,28.8,86.18319588,0.9428820368,0.9363928326,48.42339576
600.9393107,143.1267531,7.62276827,28.62812631,59.11919939,7129,7111,120,28.8,58.75186826,0.9096615101,0.8987599876,39.81497102
556.2905439,155.3085433,6.395399711,48.6810976,74.26269644,7129,7111,120,28.8,-42.72745547,0.6579101895,0.6418661454,59.10704411
