@RELATION appendixE_05_T_active_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
560,120,4,24,40,7129,7111,120,28.8,0,0.1918811822,0.1918811822,40
560,120,4,26,42,7129,7111,120,28.8,0,0.1380323667,0.1380323667,42
560,120,4,28,44,7129,7111,120,28.8,0,0.09405676531,0.09405676531,44
560,120,4,30,46,7129,7111,120,28.8,0,0.05964209928,0.05964209928,46
560,120,4,32,48,7129,7111,120,28.8,0,0.03412557986,0.03412557986,48
560,120,4,34,50,7129,7111,120,28.8,0,0.01658336218,0.01658336218,50
560,120,4,36,52,7129,7111,120,28.8,0,0.005920326658,0.005920326658,52
560,120,4,38,54,7129,7111,120,28.8,0,0.0009510613787,0.0009510613787,54
560,120,4,40,56,7129,7111,120,28.8,0,0.0004710721808,0.0002037714719,49.14285714
560,120,4,42,58,7129,7111,120,28.8,0,0.003315173336,0.0002070422557,47.34693878
560,120,4,44,60,7129,7111,120,28.8,0,0.008405370546,0.0002957240877,46.53061224
560,120,4,46,62,7129,7111,120,28.8,0,0.01478383199,0.0002011153917,46.81632653
560,120,4,48,64,7129,7111,120,28.8,0,0.02163545037,0.0002181767699,47.02040816
560,120,5,24,44,7129,7111,120,28.8,0,0.2023859727,0.2023859727,44
560,120,5,26,46,7129,7111,120,28.8,0,0.1470785633,0.1470785633,46
560,120,5,28,48,7129,7111,120,28.8,0,0.1015342029,0.1015342029,48
560,120,5,30,50,7129,7111,120,28.8,0,0.06553410261,0.06553410261,50
560,120,5,32,52,7129,7111,120,28.8,0,0.03848894444,0.03848894444,52
560,120,5,34,54,7129,7111,120,28.8,0,0.01953605242,0.01953605242,54
560,120,5,36,56,7129,7111,120,28.8,0,0.007622937751,0.007622937751,56
560,120,5,38,58,7129,7111,120,28.8,0,0.001592052701,0.001592052701,58
560,120,5,40,60,7129,7111,120,28.8,0,0.0002524358019,0.0002029793882,53.87755102
560,120,5,42,62,7129,7111,120,28.8,0,0.002440643114,0.0002012220614,50.6122449
560,120,5,44,64,7129,7111,120,28.8,0,0.007069885157,0.0002000463053,49.63265306
560,120,5,46,66,7129,7111,120,28.8,0,0.01316603269,0.0003253334845,49.83673469
560,120,5,48,68,7129,7111,120,28.8,0,0.01989209769,0.0003270455373,48.57142857
560,120,6,24,48,7129,7111,120,28.8,0,0.2144005466,0.2144005466,48
560,120,6,26,50,7129,7111,120,28.8,0,0.1575961378,0.1575961378,50
560,120,6,28,52,7129,7111,120,28.8,0,0.1103737014,0.1103737014,52
560,120,6,30,54,7129,7111,120,28.8,0,0.07262615319,0.07262615319,54
560,120,6,32,56,7129,7111,120,28.8,0,0.04385832008,0.04385832008,56
560,120,6,34,58,7129,7111,120,28.8,0,0.02328215206,0.02328215206,58
560,120,6,36,60,7129,7111,120,28.8,0,0.009903212788,0.009903212788,60
560,120,6,38,62,7129,7111,120,28.8,0,0.002603232088,0.002603232088,62
560,120,6,40,64,7129,7111,120,28.8,0,0.0002144123065,0.0002144123065,64
560,120,6,42,66,7129,7111,120,28.8,0,0.00157996642,0.0002012815351,53.87755102
560,120,6,44,68,7129,7111,120,28.8,0,0.005609810674,0.0002175989912,52.73469388
560,120,6,46,70,7129,7111,120,28.8,0,0.01131477247,0.0002486504316,51.42857143
560,120,6,48,72,7129,7111,120,28.8,0,0.0178363907,0.0002029246724,51.42857143
564,128,4,24,40,7129,7111,120,28.8,0,0.1015745329,0.1015745329,40
564,128,4,26,42,7129,7111,120,28.8,0,0.05910317188,0.05910317188,42
564,128,4,28,44,7129,7111,120,28.8,0,0.02924119934,0.02924119934,44
564,128,4,30,46,7129,7111,120,28.8,0,0.01068512733,0.01068512733,46
564,128,4,32,48,7129,7111,120,28.8,0,0.001748653585,0.001748653585,48
564,128,4,34,50,7129,7111,120,28.8,0,0.0005304899005,0.0002004366624,43.87755102
564,128,4,36,52,7129,7111,120,28.8,0,0.005067166412,0.0002378627791,41.3877551
564,128,4,38,54,7129,7111,120,28.8,0,0.01346018611,0.0002991230002,40.7755102
564,128,4,40,56,7129,7111,120,28.8,0,0.02397711879,0.0002153421169,41.14285714
564,128,4,42,58,7129,7111,120,28.8,0,0.03512353586,0.0003779396588,41.42857143
564,128,4,44,60,7129,7111,120,28.8,0,0.04568749926,0.0004257841039,40.40816327
