@RELATION appendixE_06_omega_m_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
540,120,4,34.5,50.5,7129,7111,120,28.8,-40,0.8219720342,0.8136066163,42.25510204
542.5,120,4,34.5,50.5,7129,7111,120,28.8,-35,0.7811890768,0.7766983543,43.28571429
545,120,4,34.5,50.5,7129,7111,120,28.8,-30,0.7319920065,0.7297852545,44.31632653
547.5,120,4,34.5,50.5,7129,7111,120,28.8,-25,0.6610719741,0.6590279265,44.31632653
550,120,4,34.5,50.5,7129,7111,120,28.8,-20,0.5502123241,0.5382672298,35.04081633
552.5,120,4,34.5,50.5,7129,7111,120,28.8,-15,0.3936231934,0.3838162195,39.16326531
555,120,4,34.5,50.5,7129,7111,120,28.8,-10,0.2156573697,0.2134800106,43.28571429
557.5,120,4,34.5,50.5,7129,7111,120,28.8,-5,0.06999186319,0.06999186319,50.5
560,120,4,34.5,50.5,7129,7111,120,28.8,0,0.01331788328,0.01331788328,50.5
562.5,120,4,34.5,50.5,7129,7111,120,28.8,5,0.06999186319,0.06999186319,50.5
565,120,4,34.5,50.5,7129,7111,120,28.8,10,0.2156573697,0.2134800106,43.28571429
567.5,120,4,34.5,50.5,7129,7111,120,28.8,15,0.3936231934,0.3838162195,39.16326531
570,120,4,34.5,50.5,7129,7111,120,28.8,20,0.5502123241,0.5382672298,35.04081633
572.5,120,4,34.5,50.5,7129,7111,120,28.8,25,0.6610719741,0.6590279265,44.31632653
575,120,4,34.5,50.5,7129,7111,120,28.8,30,0.7319920065,0.7297852545,44.31632653
577.5,120,4,34.5,50.5,7129,7111,120,28.8,35,0.7811890768,0.7766983543,43.28571429
580,120,4,34.5,50.5,7129,7111,120,28.8,40,0.8219720342,0.8136066163,42.25510204
582.5,120,4,34.5,50.5,7129,7111,120,28.8,45,0.8577033124,0.8458719526,40.19387755
585,120,4,34.5,50.5,7129,7111,120,28.8,50,0.8866873567,0.8738155965,39.16326531
