@RELATION appendixE_07_omega_a_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
551,110,4,34.5,50.5,7129,7111,120,28.8,-8,0.2225804838,0.2225804838,50.5
552,112,4,34.5,50.5,7129,7111,120,28.8,-8,0.2038161042,0.2038161042,50.5
553,114,4,34.5,50.5,7129,7111,120,28.8,-8,0.1871001666,0.1871001666,50.5
554,116,4,34.5,50.5,7129,7111,120,28.8,-8,0.1725235222,0.1724907717,48.43877551
555,118,4,34.5,50.5,7129,7111,120,28.8,-8,0.1601484616,0.1599999544,47.40816327
556,120,4,34.5,50.5,7129,7111,120,28.8,-8,0.1500060988,0.1495503594,45.34693878
557,122,4,34.5,50.5,7129,7111,120,28.8,-8,0.1420957445,0.1409274784,44.31632653
558,124,4,34.5,50.5,7129,7111,120,28.8,-8,0.1363835538,0.1337498221,42.25510204
559,126,4,34.5,50.5,7129,7111,120,28.8,-8,0.1328026419,0.1277054456,41.2244898
560,128,4,34.5,50.5,7129,7111,120,28.8,-8,0.1312526976,0.1223165542,39.16326531
561,130,4,34.5,50.5,7129,7111,120,28.8,-8,0.1316017641,0.1174092706,38.13265306
562,132,4,34.5,50.5,7129,7111,120,28.8,-8,0.133688016,0.1128986951,37.10204082
563,134,4,34.5,50.5,7129,7111,120,28.8,-8,0.137322527,0.1086836322,36.07142857
564,136,4,34.5,50.5,7129,7111,120,28.8,-8,0.1422910446,0.1047325484,35.04081633
565,138,4,34.5,50.5,7129,7111,120,28.8,-8,0.1483606102,0.1010808769,34.01020408
566,140,4,34.5,50.5,7129,7111,120,28.8,-8,0.1552816257,0.09771248027,34.01020408
567,142,4,34.5,50.5,7129,7111,120,28.8,-8,0.1627939019,0.09407467426,32.97959184
568,144,4,34.5,50.5,7129,7111,120,28.8,-8,0.1706311291,0.09082211922,31.94897959
569,146,4,34.5,50.5,7129,7111,120,28.8,-8,0.1785278532,0.08819748218,30.91836735
570,148,4,34.5,50.5,7129,7111,120,28.8,-8,0.1862230197,0.08491117912,30.91836735
571,150,4,34.5,50.5,7129,7111,120,28.8,-8,0.1934663169,0.08228448329,29.8877551
551,110,5,34.5,54.5,7129,7111,120,28.8,-8,0.2320550821,0.2320550821,54.5
552,112,5,34.5,54.5,7129,7111,120,28.8,-8,0.2129005971,0.2129005971,54.5
553,114,5,34.5,54.5,7129,7111,120,28.8,-8,0.1957195918,0.1956966132,52.2755102
554,116,5,34.5,54.5,7129,7111,120,28.8,-8,0.1806066266,0.1805072575,51.16326531
555,118,5,34.5,54.5,7129,7111,120,28.8,-8,0.1676282803,0.1673490659,50.05102041
556,120,5,34.5,54.5,7129,7111,120,28.8,-8,0.1568237363,0.1561796875,48.93877551
557,122,5,34.5,54.5,7129,7111,120,28.8,-8,0.1482004763,0.146782139,46.71428571
558,124,5,34.5,54.5,7129,7111,120,28.8,-8,0.1417336865,0.1389702149,45.60204082
559,126,5,34.5,54.5,7129,7111,120,28.8,-8,0.1373695898,0.1322842847,43.37755102
560,128,5,34.5,54.5,7129,7111,120,28.8,-8,0.1350171412,0.1265129627,42.26530612
561,130,5,34.5,54.5,7129,7111,120,28.8,-8,0.1345584358,0.12143043,41.15306122
562,132,5,34.5,54.5,7129,7111,120,28.8,-8,0.1358451828,0.1168158639,40.04081633
563,134,5,34.5,54.5,7129,7111,120,28.8,-8,0.1387024194,0.1125162278,38.92857143
564,136,5,34.5,54.5,7129,7111,120,28.8,-8,0.1429305134,0.1084613554,37.81632653
565,138,5,34.5,54.5,7129,7111,120,28.8,-8,0.1483097824,0.104667076,36.70408163
566,140,5,34.5,54.5,7129,7111,120,28.8,-8,0.154604219,0.1012423002,35.59183673
567,142,5,34.5,54.5,7129,7111,120,28.8,-8,0.1615660453,0.09817991204,35.59183673
568,144,5,34.5,54.5,7129,7111,120,28.8,-8,0.1689406927,0.09469961179,34.47959184
569,146,5,34.5,54.5,7129,7111,120,28.8,-8,0.1764717089,0.09188302376,33.36734694
570,148,5,34.5,54.5,7129,7111,120,28.8,-8,0.1839061994,0.08909617783,33.36734694
571,150,5,34.5,54.5,7129,7111,120,28.8,-8,0.1910006563,0.0862744149,32.25510204
551,110,6,34.5,58.5,7129,7111,120,28.8,-8,0.2431934906,0.2431924794,57.30612245
552,112,6,34.5,58.5,7129,7111,120,28.8,-8,0.2236216728,0.2236013032,57.30612245
553,114,6,34.5,58.5,7129,7111,120,28.8,-8,0.2059338473,0.2058620881,56.1122449
554,116,6,34.5,58.5,7129,7111,120,28.8,-8,0.1902292261,0.1900502631,54.91836735
555,118,6,34.5,58.5,7129,7111,120,28.8,-8,0.1765794799,0.1761799618,52.53061224
556,120,6,34.5,58.5,7129,7111,120,28.8,-8,0.1650302504,0.1642127809,51.33673469
557,122,6,34.5,58.5,7129,7111,120,28.8,-8,0.155597575,0.154054018,50.14285714
558,124,6,34.5,58.5,7129,7111,120,28.8,-8,0.1482674059,0.1454655849,47.75510204
559,126,6,34.5,58.5,7129,7111,120,28.8,-8,0.1429951762,0.1381610383,46.56122449
560,128,6,34.5,58.5,7129,7111,120,28.8,-8,0.1397056216,0.1319387463,45.36734694
561,130,6,34.5,58.5,7129,7111,120,28.8,-8,0.1382936605,0.1265327988,44.17346939
562,132,6,34.5,58.5,7129,7111,120,28.8,-8,0.1386257086,0.1216229503,41.78571429
563,134,6,34.5,58.5,7129,7111,120,28.8,-8,0.1405418714,0.1172486818,40.59183673
564,136,6,34.5,58.5,7129,7111,120,28.8,-8,0.1438582612,0.113077732,40.59183673
565,138,6,34.5,58.5,7129,7111,120,28.8,-8,0.1483707408,0.1091587358,39.39795918
566,140,6,34.5,58.5,7129,7111,120,28.8,-8,0.1538587545,0.1055942932,38.20408163
567,142,6,34.5,58.5,7129,7111,120,28.8,-8,0.1600885734,0.1026064892,37.01020408
568,144,6,34.5,58.5,7129,7111,120,28.8,-8,0.1668194772,0.0992476201,37.01020408
569,146,6,34.5,58.5,7129,7111,120,28.8,-8,0.1738066295,0.09631043169,35.81632653
570,148,6,34.5,58.5,7129,7111,120,28.8,-8,0.1808077377,0.09378268765,35.81632653
571,150,6,34.5,58.5,7129,7111,120,28.8,-8,0.1875872755,0.09087110622,34.62244898
555,110,4,34.5,50.5,7129,7111,120,28.8,0,0.09067288893,0.09067288893,50.5
