@RELATION appendixE_08_sigma_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.000599796535,0.0002034005173,46.71428571
560,120,3,30,42,7129,7111,120,28.8,0,0.05498518789,0.05498518789,42
560,120,3.5,30,44,7129,7111,120,28.8,0,0.05715736982,0.05715736982,44
560,120,4,30,46,7129,7111,120,28.8,0,0.05964209928,0.05964209928,46
560,120,4.5,30,48,7129,7111,120,28.8,0,0.06243518286,0.06243518286,48
560,120,5,30,50,7129,7111,120,28.8,0,0.06553410261,0.06553410261,50
560,120,5.5,30,52,7129,7111,120,28.8,0,0.06893307925,0.06893307925,52
560,120,6,30,54,7129,7111,120,28.8,0,0.07262615319,0.07262615319,54
560,120,6.5,30,56,7129,7111,120,28.8,0,0.07660405005,0.07660405005,56
560,120,7,30,58,7129,7111,120,28.8,0,0.08085465697,0.08085465697,58
560,120,7.5,30,60,7129,7111,120,28.8,0,0.08536337641,0.08536337641,60
560,120,8,30,62,7129,7111,120,28.8,0,0.09011860766,0.09011860766,62
560,120,3,34.5,46.5,7129,7111,120,28.8,0,0.0113636827,0.0113636827,46.5
560,120,3.5,34.5,48.5,7129,7111,120,28.8,0,0.01226060442,0.01226060442,48.5
560,120,4,34.5,50.5,7129,7111,120,28.8,0,0.01331788328,0.01331788328,50.5
560,120,4.5,34.5,52.5,7129,7111,120,28.8,0,0.01454171609,0.01454171609,52.5
560,120,5,34.5,54.5,7129,7111,120,28.8,0,0.0159417071,0.0159417071,54.5
560,120,5.5,34.5,56.5,7129,7111,120,28.8,0,0.01752709066,0.01752709066,56.5
560,120,6,34.5,58.5,7129,7111,120,28.8,0,0.01930484625,0.01930484625,58.5
560,120,6.5,34.5,60.5,7129,7111,120,28.8,0,0.02128253108,0.02128253108,60.5
560,120,7,34.5,62.5,7129,7111,120,28.8,0,0.02346514414,0.02346514414,62.5
560,120,7.5,34.5,64.5,7129,7111,120,28.8,0,0.02585461351,0.02585461351,64.5
560,120,8,34.5,66.5,7129,7111,120,28.8,0,0.02845295663,0.02845295663,66.5
560,120,3,40,52,7129,7111,120,28.8,0,0.0007657411333,0.0002037903377,45.63265306
560,120,3.5,40,54,7129,7111,120,28.8,0,0.0006138829352,0.0002002388038,47.3877551
560,120,4,40,56,7129,7111,120,28.8,0,0.0004710721808,0.0002037714719,49.14285714
560,120,4.5,40,58,7129,7111,120,28.8,0,0.0003460230392,0.0002047312736,52.08163265
560,120,5,40,60,7129,7111,120,28.8,0,0.0002524358019,0.0002029793882,53.87755102
560,120,5.5,40,62,7129,7111,120,28.8,0,0.0002039237344,0.0002005488204,59.46938776
560,120,6,40,64,7129,7111,120,28.8,0,0.0002144123065,0.0002144123065,64
560,120,6.5,40,66,7129,7111,120,28.8,0,0.0002970944987,0.0002970944987,66
560,120,7,40,68,7129,7111,120,28.8,0,0.0004669620737,0.0004669620737,68
560,120,7.5,40,70,7129,7111,120,28.8,0,0.0007374102397,0.0007374102397,70
560,120,8,40,72,7129,7111,120,28.8,0,0.001120860491,0.001120860491,72
564,128,3,30,42,7129,7111,120,28.8,0,0.008580059761,0.008580059761,42
