@RELATION appendixE_666_pointO_pulse_only

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,5,34.5,54.5,7129,7111,120,28.8,0,0.0005997975324,0.0002003417592,46.91139241
558,120,4,30,46,7129,7111,120,28.8,-4,0.09063390191,0.09063390191,46
558,120,5,30,50,7129,7111,120,28.8,-4,0.09792752934,0.09792752934,50
558,120,6,30,54,7129,7111,120,28.8,-4,0.1066531828,0.1066531828,54
558,120,4,32,48,7129,7111,120,28.8,-4,0.06796960787,0.06796960787,48
558,120,5,32,52,7129,7111,120,28.8,-4,0.07367330046,0.07367330046,52
558,120,6,32,56,7129,7111,120,28.8,-4,0.08060881958,0.08060881958,56
558,120,4,34.5,50.5,7129,7111,120,28.8,-4,0.0500973444,0.0500973444,50.5
558,120,5,34.5,54.5,7129,7111,120,28.8,-4,0.05397985677,0.05397985677,54.5
558,120,6,34.5,58.5,7129,7111,120,28.8,-4,0.0588140224,0.0588140224,58.5
558,120,4,37,53,7129,7111,120,28.8,-4,0.04167346753,0.04167346753,53
558,120,5,37,57,7129,7111,120,28.8,-4,0.04399955305,0.04399955305,57
558,120,6,37,61,7129,7111,120,28.8,-4,0.04699424104,0.04699424104,61
558,120,4,40,56,7129,7111,120,28.8,-4,0.04062465246,0.03926738301,47.49367089
558,120,5,40,60,7129,7111,120,28.8,-4,0.04150036715,0.04045400981,50.88607595
558,120,6,40,64,7129,7111,120,28.8,-4,0.04273157345,0.04200558888,54.27848101
559,120,4,30,46,7129,7111,120,28.8,-2,0.06750718251,0.06750718251,46
559,120,5,30,50,7129,7111,120,28.8,-2,0.07376322601,0.07376322601,50
559,120,6,30,54,7129,7111,120,28.8,-2,0.0812821576,0.0812821576,54
559,120,4,32,48,7129,7111,120,28.8,-2,0.0427279813,0.0427279813,48
559,120,5,32,52,7129,7111,120,28.8,-2,0.04744159283,0.04744159283,52
559,120,6,32,56,7129,7111,120,28.8,-2,0.05322038847,0.05322038847,56
559,120,4,34.5,50.5,7129,7111,120,28.8,-2,0.02268586214,0.02268586214,50.5
559,120,5,34.5,54.5,7129,7111,120,28.8,-2,0.02563927428,0.02563927428,54.5
559,120,6,34.5,58.5,7129,7111,120,28.8,-2,0.02938844982,0.02938844982,58.5
559,120,4,37,53,7129,7111,120,28.8,-2,0.01272270317,0.01272270317,53
559,120,5,37,57,7129,7111,120,28.8,-2,0.01417863651,0.01417863651,57
559,120,6,37,61,7129,7111,120,28.8,-2,0.01616000235,0.01616000235,61
559,120,4,40,56,7129,7111,120,28.8,-2,0.01074911193,0.01024446377,48.91139241
559,120,5,40,60,7129,7111,120,28.8,-2,0.01081711934,0.01059019007,53.16455696
559,120,6,40,64,7129,7111,120,28.8,-2,0.01111304793,0.01106182538,58.32911392
560,120,4,30,46,7129,7111,120,28.8,0,0.0596420947,0.0596420947,46
560,120,5,30,50,7129,7111,120,28.8,0,0.06553377523,0.06553377523,50
560,120,6,30,54,7129,7111,120,28.8,0,0.07262615298,0.07262615298,54
560,120,4,32,48,7129,7111,120,28.8,0,0.0341255764,0.0341255764,48
560,120,5,32,52,7129,7111,120,28.8,0,0.03848890165,0.03848890165,52
560,120,6,32,56,7129,7111,120,28.8,0,0.04385831983,0.04385831983,56
560,120,4,34.5,50.5,7129,7111,120,28.8,0,0.01331793242,0.01331793242,50.5
560,120,5,34.5,54.5,7129,7111,120,28.8,0,0.01594163637,0.01594163637,54.5
560,120,6,34.5,58.5,7129,7111,120,28.8,0,0.01930484611,0.01930484611,58.5
560,120,4,37,53,7129,7111,120,28.8,0,0.002799520884,0.002799520884,53
560,120,5,37,57,7129,7111,120,28.8,0,0.003946672858,0.003946672858,57
560,120,6,37,61,7129,7111,120,28.8,0,0.005566004362,0.005566004362,61
560,120,4,40,56,7129,7111,120,28.8,0,0.0004710698404,0.0002020996319,49.62025316
